,eolica,nuclear,carbon,ciclo_combinado,hidraulica,solar_fotovoltaica,solar_termica,cogeneracion,exportacion_andorra,exportacion_marruecos,exportacion_portugal,exportacion_francia,importacion_francia,importacion_portugal,importacion_marruecos,importacion_andorra,target
1202,9849.4383745,7132.767875,201.3672917,3722.5827713,6752.52625,3681.5244991,177.3921,1740.3923982,-20.1766667,-151.776,-1468.723125,-1480.5160417,563.4086667,517.6142083,50.607,0.0,56.67625
1203,11281.0543333,5952.8903333,372.84275,2315.0988037,5161.2398619,5608.6949734,480.5110225,1254.47197,-20.0229167,-694.152,-603.0162917,-1935.4479583,32.965625,1585.023125,1.863,0.0,21.4075
1204,15520.0370076,5671.2314167,372.6271667,2435.5533696,4791.9329583,4008.6915137,133.9238654,1181.7345195,-38.7841667,-332.433,-908.3994167,-2104.5445417,22.1798333,775.11875,4.365,0.0,23.06083333333333
1205,14496.0370343,5677.4814583,367.5414167,2285.2106293,4970.9377083,3972.1988046,158.106597,970.4885415,-46.41875,-543.726,-677.8514583,-2272.8121667,180.4352917,1243.7862917,0.0,0.0,10.135
1206,10195.0687406,5677.3931667,197.598375,2072.4083275,5326.0438333,4219.668394,171.8388732,958.5976037,-42.5604167,-208.863,-451.2177917,-2097.0607917,9.0687917,1270.75075,11.754,0.0,12.537083333333332
1207,6883.0959677,5918.8042083,191.5550417,2986.6749029,5607.934625,5123.564171,354.5756758,1053.7999809,-42.86125,-70.542,-593.8075833,-2445.243125,0.4885,1452.3089167,32.598,0.0,28.57958333333333
1208,6734.6668752,6071.7691667,291.3164583,3820.1975897,6560.4395,6466.2824972,750.2687563,1265.6895331,-25.1841667,-103.104,-1041.198,-1728.57975,243.4489167,963.4685833,34.578,0.0,44.475
1209,6934.7191108,6135.3402283,359.2214167,3945.8142392,7254.641375,6343.8604965,770.8828758,1342.4498961,-19.39125,-62.919,-1273.0595417,-1989.3945833,174.33725,623.1702917,40.383,0.0,42.7075
1210,7121.2080083,6142.0531938,362.6942083,3629.441219,7045.2689792,6482.5629096,1013.0512586,1363.1872682,-20.57,-141.444,-1345.6204167,-1996.05075,3.2919167,531.4516667,36.504,0.0,38.22583333333333
1211,6583.0413186,6140.5049167,362.0960417,3490.7333845,7087.3399167,6298.5493924,880.4295515,1460.2609045,-17.7295833,-245.07,-1389.4707917,-2053.8024583,46.9148333,548.6957917,37.089,0.0,52.849583333333335
1212,7834.4651437,6138.0175,318.31875,3149.8820301,6549.36025,6521.2988325,1082.4497855,1217.5779944,-17.7008333,-594.18,-1312.1305,-2378.822625,0.6329583,606.9700833,12.006,0.0,24.43541666666667
1213,9771.8674431,5444.3489886,194.9655,2383.3962824,4919.7362917,6274.5335406,1055.4803277,904.4027019,-17.6458333,-707.022,-1477.912875,-2821.706,5.2843333,344.010125,0.0,0.0,4.763333333333334
1214,7484.6131778,5426.0541739,190.6289565,2185.8657563,3898.7083913,5996.2286755,936.6206838,890.8837185,-15.7304348,-390.9130435,-944.826087,-2493.7375217,59.1564783,968.0093043,3.9161739,0.0,3.2579166666666666
1215,4761.0469811,5687.2249167,299.130125,3506.3446798,5027.0255417,7268.195591,1081.5320137,1200.5240322,-16.7616667,-171.801,-940.1570833,-1394.66925,511.1805417,1278.6217083,81.756,0.0,35.530833333333334
1216,2297.3254716,6129.761625,363.8879583,3190.8285993,6122.0346875,6566.7498638,547.134105,1745.7106361,-16.5316667,-23.796,-1071.013875,-171.6065,992.75025,916.7599167,172.863,0.0,56.35125
1217,6668.7577586,6132.7349583,358.5482917,2839.408776,6026.7915644,4974.6714988,347.2007477,1584.1633347,-18.5383333,-364.023,-1120.1883333,-535.2267083,897.1149167,684.9627083,44.271,0.0,26.968333333333334
1218,10008.8005795,6134.0361667,358.3275417,2500.4576369,6045.5867024,3779.3384136,128.696625,1450.6963475,-17.46375,-211.257,-587.622,-2036.516875,151.0573333,1103.1402083,34.434,0.0,20.749583333333334
1219,10427.4976167,5439.0445,348.6900833,2227.0777441,5507.3213641,4721.7843919,225.4618006,1241.7995603,-16.5554167,-154.071,-385.368375,-2563.2370833,211.234,1811.4415417,22.572,0.0,11.64125
1220,5948.3600404,5155.8191667,194.5180833,2212.3158845,5164.46925,5886.781625,363.0890154,1355.7896153,-14.9320833,-555.084,-1084.3739583,-1427.3535417,1107.272,1138.3388333,0.711,0.0,26.99083333333333
1221,3858.8946918,5146.097625,189.937125,2498.260503,5029.7860417,5595.0404945,561.6670144,1470.7744444,-13.9879167,-404.271,-1282.0828333,-1065.85825,1091.799125,807.1172917,3.96,0.0,25.45958333333333
1222,2746.2749102,6049.745375,302.4248333,3457.7490518,6121.944625,8328.1102481,1084.7084701,1676.3661229,-32.4366667,-320.094,-1234.7449167,-1797.0399583,420.78325,807.3888333,50.427,0.0,57.73208333333333
1223,2832.0323005,6129.6014167,361.8987083,3066.1433448,6339.9961042,7519.618444,1020.2696729,1744.613473,-37.3520833,-382.644,-1316.2529583,-1247.8828333,189.1750417,1162.9189583,44.478,0.0,44.8525
1224,3779.5316248,6126.814,359.3139583,3109.8728174,6276.940375,7286.2445619,648.0158525,1763.3269417,-20.4679167,-564.165,-1204.183125,-1557.0307083,193.0740833,932.7215833,26.451,0.0,30.939166666666665
1225,7587.147874,6126.955,359.6912917,2483.5672583,5541.8594167,6457.6061272,514.7150358,1755.4361482,-33.9233333,-480.393,-1660.665375,-1800.342625,182.3487083,410.5875417,3.501,0.0,18.20375
1226,8669.7566938,6128.4115833,359.3597083,2626.4313724,5794.5575417,4331.2066521,391.5564095,1791.4156375,-9.8208333,-505.845,-1448.209,-1552.28225,339.12775,585.4089583,10.7189583,0.0016667,19.43125
1227,3847.9355725,5865.4369583,199.7122083,3305.6010643,6010.2075833,4098.6926258,44.2074487,1830.4182039,-10.7816667,-605.016,-1123.4569583,-408.6637083,1141.0649583,356.9847083,0.2430417,0.0,27.25208333333333
1228,1947.6661643,5808.3487083,176.1927083,2935.5864473,5299.8961667,5782.4326559,419.9340406,1691.5486433,-12.9970833,-321.777,-1040.1312917,-625.069125,940.4387083,429.4502917,5.463,0.0,18.652916666666663
1229,7035.6578561,5808.2664583,192.7560417,2751.9803111,5626.1329583,5255.092836,441.8836528,1839.0899671,-5.7529167,-305.415,-889.572125,-971.5259583,67.26725,818.5113333,32.166,0.0,22.214166666666667
1230,9668.7977083,4191.7272917,193.630875,2400.3017864,5014.8430218,6332.1012987,506.2706716,1651.3315515,-39.3183333,-594.432,-821.7958333,-1155.2492083,62.5544583,748.331,0.072,0.0,12.189166666666669
1231,10984.7149402,3266.9774583,195.100375,2546.2409429,4911.3880417,6900.5458393,806.6271293,1671.7190326,-8.74375,-405.558,-1471.9519583,-1663.3602083,37.9650417,437.9504167,0.405,0.0,12.302916666666668
1232,8522.4263885,2377.5221364,181.911625,3117.2022214,4788.2007083,7179.7504381,546.40236,1650.7078253,-14.7691667,-300.753,-1876.4248333,-1957.9364167,137.75175,546.2169167,13.509,0.0,22.820833333333336
1233,7417.4749516,2053.085,182.009875,3202.3250909,4623.8960833,5169.2838821,441.051319,1511.850827,-13.53,-693.657,-753.2537917,-2327.7329167,403.7012917,1491.9321667,0.0,0.0,10.485
1234,9489.988575,2052.446125,182.41275,3035.8168887,4283.5572639,5112.0913593,641.5776909,1313.1486726,-14.7266667,-353.574,-526.2323333,-2189.976125,72.5412083,1273.7856667,5.301,0.0,1.4520833333333334
1235,5480.7976135,2052.063375,174.097,3400.4909643,4961.7062917,5416.699912,435.6298557,1350.0663468,-13.6966667,-50.283,-426.827625,-1849.8702917,153.46275,1632.1834583,48.744,0.0,8.264166666666666
1236,3006.7914594,2134.9828333,199.6013333,3544.8938447,6210.8033333,7832.6549038,688.5731737,1710.3133975,-13.5958333,-122.787,-871.38625,-1847.385375,401.5416667,1424.2457083,81.477,0.0,50.7475
1237,4250.8613055,3000.296375,199.8224167,3929.7723308,6886.8275179,7476.696684,728.701327,1870.4592948,-16.15125,-156.8429583,-675.9350833,-1724.2700417,30.7853333,1339.9566667,73.395,0.0,63.115833333333335
1238,4562.7048652,3529.97675,199.7199583,3428.5296136,6408.5447917,9581.8428,1253.1227067,1906.6852009,-15.7004167,-387.1530417,-1564.7958333,-2059.784875,34.8705417,603.6568333,25.335,0.0,44.06541666666666
1239,4787.0309231,3714.4809583,198.7754583,3444.6802308,5702.3524167,8836.0245795,1183.0914896,1920.0626127,-14.5254167,-382.419,-1514.9863333,-1581.5109583,253.8197083,539.1573333,25.749,0.0,44.01708333333334
1240,3283.6883913,3713.7422917,199.4485833,3439.0931997,5812.1300833,8446.1591824,1025.9283658,2000.6743773,-10.4954167,-464.067,-706.45075,-1177.003875,22.25825,1357.1888333,4.05,0.0020833,32.81166666666667
1241,7596.1951071,3446.0395,199.8700833,2336.055704,4386.7402917,7380.1002615,1170.0224702,1388.2823433,-14.5916667,-476.973,-976.5552083,-2321.8734167,2.4545833,681.6232917,0.477,0.0,5.181666666666667
1242,5477.1882972,3389.345375,181.1794167,3089.1221579,3780.819375,6094.3440007,1296.9385733,1409.087481,-12.6566667,-170.838,-933.9122917,-2058.747375,265.4515833,744.5894583,6.003,0.0,12.502916666666666
1243,3714.0309925,3272.7296923,176.2339286,3423.348475,3967.292913,3210.3435791,908.0477973,1224.6086936,-3.6454167,-164.133,-389.8829167,-1069.6259583,531.366125,788.0467083,88.317,0.0,16.984166666666667
1244,4114.9521753,6.7655804,161.2343333,8123.4660543,6469.1199217,4036.5867582,329.7774416,882.8755936,-0.0025,-20.115,-568.8755833,-238.023625,474.289375,565.2432083,75.042,0.0004167,6.159130434782608
1245,9301.182375,683.7279583,199.2247083,4177.283875,5200.0616667,4764.8989266,307.5001616,1590.8009081,0.0,-53.541,-502.6723333,-416.9982917,451.5449167,501.204,42.552,0.0,25.93
1246,5458.3697586,1220.4485,185.8665,4567.848,4461.1199583,5434.6011311,688.173195,1486.3256911,0.0,-758.376,-678.56,-1299.2815,0.0005,1289.335,0.0,0.0,17.445416666666667
1247,7572.9005038,1424.451,202.367875,4814.5252159,4572.2574583,4454.6646874,384.1272933,1487.1967339,-7.4770833,-600.156,-379.5018333,-1416.1667917,119.0961667,1228.0702917,0.0,0.0008333,15.81875
1248,3751.8698007,1426.3284583,173.8525833,4134.0882083,4584.8031667,6235.0992905,224.1558223,1535.0673701,-8.2745833,-580.914,-401.545375,-580.457125,566.18325,1478.7609167,0.0,0.0,17.651666666666667
1249,4722.1731614,1515.5643333,174.939625,4015.8217083,4270.5227083,5121.9892612,308.610401,1503.3394777,-5.3458333,-525.708,-465.9735,-355.346,701.0540417,698.5064583,0.738,0.00125,21.83333333333333
1250,9089.7394647,1754.741238,200.2796667,4135.7481667,4843.018,5425.0598958,352.3370937,1597.0897343,-7.5625,-572.463,-538.723125,-730.2192917,236.842375,666.2745417,0.225,0.0058333,44.57333333333333
1251,7360.0985324,2781.715125,199.7337917,3876.67325,5189.1744583,6079.0956095,749.1575272,1553.1969058,-5.0625,-708.471,-665.5455417,-1133.2582917,204.1665833,912.5757083,0.0,0.0183333,46.96666666666667
1252,4331.9604678,4074.5225,201.8480833,3625.7692042,5987.0559167,7469.368283,493.4977136,1750.2671004,-5.0133333,-753.489,-712.538,-982.3052083,263.93525,1091.930625,0.0,0.0041667,48.85208333333333
1253,3056.0489807,4323.6135833,200.0094583,3855.1890341,6741.4198333,5774.4500314,220.9065722,1788.3140106,-11.2295833,-772.803,-1072.4801667,-22.441375,2168.6142083,530.11475,0.0,0.0,41.102916666666665
1254,2767.4987772,4333.911875,200.13325,3615.1774583,6714.3150417,6547.6944071,483.5302899,1846.5401612,-12.3854167,-792.702,-1122.3318333,-225.4523333,1623.6110833,448.1214583,0.0,0.0,33.916666666666664
1255,4250.5287216,4352.3637083,180.234,3430.1978667,5284.7872917,4908.3150014,431.6942856,1527.0727061,-13.50125,-792.576,-946.6546667,-439.38975,1161.9184583,350.0367917,0.0,0.0,12.647083333333336
1256,3568.9543237,4781.9422083,174.837125,3778.1789873,4783.4898333,5061.0432978,791.7191832,1310.0643243,-16.5379167,-623.466,-947.385,-1184.9549167,478.6736667,504.6351667,0.414,0.0,7.595
1257,3249.6136551,5099.562375,206.769125,3894.2079583,5941.1082083,7214.9050281,1067.2166227,1721.8348719,-7.3829167,-762.723,-1105.668375,-1302.4099167,27.971125,804.9477917,0.0,0.0379167,31.24791666666667
1258,1923.6149782,5110.9976667,212.6282083,4218.8654586,5923.4255417,6714.2316161,790.9475478,1853.3987577,-10.31375,-607.023,-777.145,-558.3323333,564.0907917,1067.50025,0.783,0.0291667,49.78375
1259,2111.2914201,5104.1592083,196.243875,3778.865002,5773.6325,6935.0758109,954.6507797,1916.1465416,-13.6558333,-340.668,-828.1195417,-433.6855833,873.2785417,1083.5849583,9.675,0.0,37.809583333333336
1260,5513.1638872,4692.8080417,197.359625,3133.7331167,5446.4314583,6308.3471944,933.0113442,1707.7026972,-16.9783333,-457.65,-775.0427917,-792.0319583,174.9615,693.7444583,7.911,0.0,17.97
